model,codebase,condition,decision,turn,epoch,score
gemini-3.1-flash-lite,arviz,treatment_negation,code_style_broadcasting,20,1,3
gemini-3.1-flash-lite,arviz,treatment_negation,architecture_standalone,21,1,3
gemini-3.1-flash-lite,arviz,treatment_negation,testing_parametrize,22,1,0
gemini-3.1-flash-lite,arviz,treatment_negation,testing_assert_almost,22,1,3
gemini-3.1-flash-lite,arviz,treatment_negation,naming_underscore,23,1,1
gemini-3.1-flash-lite,arviz,treatment_negation,naming_snake_no_abbrev,23,1,3
gemini-3.1-flash-lite,arviz,treatment_negation,dependencies_no_new,24,1,0
gemini-3.1-flash-lite,arviz,treatment_negation,dependencies_module_constants,24,1,0
gemini-3.1-flash-lite,arviz,treatment_negation,docs_numpy_style,25,1,3
gemini-3.1-flash-lite,arviz,treatment_positive,code_style_broadcasting,20,1,3
gemini-3.1-flash-lite,arviz,treatment_positive,architecture_extend,21,1,3
gemini-3.1-flash-lite,arviz,treatment_positive,architecture_standalone,21,1,0
gemini-3.1-flash-lite,arviz,treatment_positive,testing_parametrize,22,1,0
gemini-3.1-flash-lite,arviz,treatment_positive,testing_assert_almost,22,1,3
gemini-3.1-flash-lite,arviz,treatment_positive,naming_underscore,23,1,1
gemini-3.1-flash-lite,arviz,treatment_positive,naming_snake_no_abbrev,23,1,3
gemini-3.1-flash-lite,arviz,treatment_positive,dependencies_no_new,24,1,0
gemini-3.1-flash-lite,arviz,treatment_positive,dependencies_module_constants,24,1,0
gemini-3.1-flash-lite,arviz,treatment_positive,docs_numpy_style,25,1,3
gemini-3.1-flash-lite,bambi,treatment_negation,testing_parametrize,22,1,0
gemini-3.1-flash-lite,bambi,treatment_negation,naming_underscore,23,1,1
gemini-3.1-flash-lite,bambi,treatment_negation,naming_snake_no_abbrev,23,1,3
gemini-3.1-flash-lite,bambi,treatment_negation,dependencies_no_new,24,1,0
gemini-3.1-flash-lite,bambi,treatment_negation,dependencies_module_constants,24,1,3
gemini-3.1-flash-lite,bambi,treatment_negation,docs_numpy_style,25,1,3
gemini-3.1-flash-lite,bambi,treatment_negation,docs_regex_comments,25,1,3
gemini-3.1-flash-lite,bambi,treatment_positive,code_style_broadcasting,20,1,3
gemini-3.1-flash-lite,bambi,treatment_positive,architecture_standalone,21,1,3
gemini-3.1-flash-lite,bambi,treatment_positive,testing_parametrize,22,1,0
gemini-3.1-flash-lite,bambi,treatment_positive,testing_assert_almost,22,1,3
gemini-3.1-flash-lite,bambi,treatment_positive,naming_underscore,23,1,3
gemini-3.1-flash-lite,bambi,treatment_positive,naming_snake_no_abbrev,23,1,1
gemini-3.1-flash-lite,bambi,treatment_positive,dependencies_no_new,24,1,0
gemini-3.1-flash-lite,bambi,treatment_positive,docs_numpy_style,25,1,3
gemini-3.1-flash-lite,bambi,treatment_positive,docs_regex_comments,25,1,3
gemini-3.1-flash-lite,pymc,treatment_negation,code_style_broadcasting,20,1,1
gemini-3.1-flash-lite,pymc,treatment_negation,architecture_extend,21,1,3
gemini-3.1-flash-lite,pymc,treatment_negation,architecture_standalone,21,1,0
