model,codebase,condition,decision,turn,epoch,score
gemini-3.1-flash-lite,arviz,baseline,code_style_broadcasting,20,1,1
gemini-3.1-flash-lite,arviz,baseline,architecture_standalone,21,1,3
gemini-3.1-flash-lite,arviz,baseline,testing_parametrize,22,1,0
gemini-3.1-flash-lite,arviz,baseline,testing_assert_almost,22,1,3
gemini-3.1-flash-lite,arviz,baseline,naming_underscore,23,1,3
gemini-3.1-flash-lite,arviz,baseline,naming_snake_no_abbrev,23,1,3
gemini-3.1-flash-lite,arviz,baseline,dependencies_no_new,24,1,3
gemini-3.1-flash-lite,arviz,baseline,dependencies_module_constants,24,1,0
gemini-3.1-flash-lite,arviz,baseline,docs_numpy_style,25,1,3
gemini-3.1-flash-lite,arviz,treatment,code_style_broadcasting,20,1,3
gemini-3.1-flash-lite,arviz,treatment,architecture_standalone,21,1,3
gemini-3.1-flash-lite,arviz,treatment,testing_parametrize,22,1,3
gemini-3.1-flash-lite,arviz,treatment,testing_assert_almost,22,1,3
gemini-3.1-flash-lite,arviz,treatment,naming_underscore,23,1,0
gemini-3.1-flash-lite,arviz,treatment,naming_snake_no_abbrev,23,1,3
gemini-3.1-flash-lite,arviz,treatment,dependencies_no_new,24,1,0
gemini-3.1-flash-lite,arviz,treatment,dependencies_module_constants,24,1,0
gemini-3.1-flash-lite,arviz,treatment,docs_numpy_style,25,1,3
gemini-3.1-flash-lite,arviz,treatment,docs_regex_comments,25,1,3
gemini-3.1-flash-lite,bambi,baseline,testing_parametrize,22,1,0
gemini-3.1-flash-lite,bambi,baseline,naming_underscore,23,1,0
gemini-3.1-flash-lite,bambi,baseline,naming_snake_no_abbrev,23,1,3
gemini-3.1-flash-lite,bambi,baseline,dependencies_no_new,24,1,0
gemini-3.1-flash-lite,bambi,baseline,dependencies_module_constants,24,1,0
gemini-3.1-flash-lite,bambi,baseline,docs_numpy_style,25,1,3
gemini-3.1-flash-lite,bambi,baseline,docs_regex_comments,25,1,3
gemini-3.1-flash-lite,bambi,treatment,code_style_broadcasting,20,1,3
gemini-3.1-flash-lite,bambi,treatment,architecture_standalone,21,1,3
gemini-3.1-flash-lite,bambi,treatment,testing_parametrize,22,1,0
gemini-3.1-flash-lite,bambi,treatment,testing_assert_almost,22,1,3
gemini-3.1-flash-lite,bambi,treatment,naming_underscore,23,1,1
gemini-3.1-flash-lite,bambi,treatment,naming_snake_no_abbrev,23,1,3
gemini-3.1-flash-lite,bambi,treatment,dependencies_no_new,24,1,0
gemini-3.1-flash-lite,bambi,treatment,docs_numpy_style,25,1,3
gemini-3.1-flash-lite,bambi,treatment,docs_regex_comments,25,1,3
gemini-3.1-flash-lite,pymc,baseline,code_style_broadcasting,20,1,3
gemini-3.1-flash-lite,pymc,baseline,architecture_extend,21,1,0
gemini-3.1-flash-lite,pymc,baseline,architecture_standalone,21,1,0
gemini-3.1-flash-lite,pymc,baseline,testing_parametrize,22,1,0
gemini-3.1-flash-lite,pymc,baseline,testing_assert_almost,22,1,3
gemini-3.1-flash-lite,pymc,baseline,naming_underscore,23,1,0
gemini-3.1-flash-lite,pymc,baseline,naming_snake_no_abbrev,23,1,3
gemini-3.1-flash-lite,pymc,baseline,dependencies_no_new,24,1,0
gemini-3.1-flash-lite,pymc,baseline,dependencies_module_constants,24,1,0
gemini-3.1-flash-lite,pymc,baseline,docs_numpy_style,25,1,3
gemini-3.1-flash-lite,pymc,baseline,docs_regex_comments,25,1,0
gemini-3.1-flash-lite,pymc,treatment,code_style_broadcasting,20,1,3
gemini-3.1-flash-lite,pymc,treatment,architecture_extend,21,1,3
gemini-3.1-flash-lite,pymc,treatment,architecture_standalone,21,1,0
gemini-3.1-flash-lite,pymc,treatment,testing_parametrize,22,1,0
gemini-3.1-flash-lite,pymc,treatment,testing_assert_almost,22,1,3
gemini-3.1-flash-lite,pymc,treatment,naming_underscore,23,1,0
gemini-3.1-flash-lite,pymc,treatment,naming_snake_no_abbrev,23,1,1
gemini-3.1-flash-lite,pymc,treatment,dependencies_no_new,24,1,0
gemini-3.1-flash-lite,pymc,treatment,dependencies_module_constants,24,1,2
gemini-3.1-flash-lite,pymc,treatment,docs_numpy_style,25,1,3
gemini-3.1-flash-lite,pymc,treatment,docs_regex_comments,25,1,3
gemini-3.1-flash-lite,arviz,baseline,code_style_broadcasting,20,2,1
gemini-3.1-flash-lite,arviz,baseline,code_style_listcomp,20,2,3
gemini-3.1-flash-lite,arviz,baseline,architecture_extend,21,2,3
gemini-3.1-flash-lite,arviz,baseline,architecture_standalone,21,2,0
gemini-3.1-flash-lite,arviz,baseline,testing_parametrize,22,2,0
gemini-3.1-flash-lite,arviz,baseline,testing_assert_almost,22,2,3
gemini-3.1-flash-lite,arviz,baseline,naming_underscore,23,2,0
gemini-3.1-flash-lite,arviz,baseline,naming_snake_no_abbrev,23,2,3
gemini-3.1-flash-lite,arviz,baseline,dependencies_no_new,24,2,0
gemini-3.1-flash-lite,arviz,baseline,dependencies_module_constants,24,2,0
gemini-3.1-flash-lite,arviz,baseline,docs_numpy_style,25,2,3
gemini-3.1-flash-lite,arviz,baseline,docs_regex_comments,25,2,0
gemini-3.1-flash-lite,arviz,treatment,code_style_broadcasting,20,2,3
gemini-3.1-flash-lite,arviz,treatment,architecture_extend,21,2,3
