model,codebase,condition,decision,turn,epoch,score
qwen3.5-27b,arviz,baseline,code_style_broadcasting,20,1,1
qwen3.5-27b,arviz,baseline,testing_parametrize,22,1,0
qwen3.5-27b,arviz,baseline,testing_assert_almost,22,1,3
qwen3.5-27b,arviz,baseline,naming_underscore,23,1,0
qwen3.5-27b,arviz,baseline,naming_snake_no_abbrev,23,1,3
qwen3.5-27b,arviz,baseline,dependencies_no_new,24,1,3
qwen3.5-27b,arviz,baseline,docs_numpy_style,25,1,3
qwen3.5-27b,arviz,treatment,code_style_broadcasting,20,1,3
qwen3.5-27b,arviz,treatment,architecture_standalone,21,1,3
qwen3.5-27b,arviz,treatment,testing_parametrize,22,1,0
qwen3.5-27b,arviz,treatment,testing_assert_almost,22,1,3
qwen3.5-27b,arviz,treatment,naming_underscore,23,1,3
qwen3.5-27b,arviz,treatment,naming_snake_no_abbrev,23,1,3
qwen3.5-27b,arviz,treatment,dependencies_no_new,24,1,0
qwen3.5-27b,arviz,treatment,dependencies_module_constants,24,1,3
qwen3.5-27b,arviz,treatment,docs_numpy_style,25,1,3
qwen3.5-27b,arviz,treatment,docs_regex_comments,25,1,3
qwen3.5-27b,bambi,baseline,code_style_broadcasting,20,1,3
qwen3.5-27b,bambi,baseline,architecture_extend,21,1,0
qwen3.5-27b,bambi,baseline,architecture_standalone,21,1,3
qwen3.5-27b,bambi,baseline,testing_parametrize,22,1,0
qwen3.5-27b,bambi,baseline,testing_assert_almost,22,1,3
qwen3.5-27b,bambi,baseline,naming_underscore,23,1,0
qwen3.5-27b,bambi,baseline,naming_snake_no_abbrev,23,1,3
qwen3.5-27b,bambi,baseline,dependencies_no_new,24,1,0
qwen3.5-27b,bambi,baseline,dependencies_module_constants,24,1,0
qwen3.5-27b,bambi,baseline,docs_numpy_style,25,1,3
qwen3.5-27b,bambi,treatment,code_style_broadcasting,20,1,3
qwen3.5-27b,pymc,baseline,code_style_broadcasting,20,1,3
qwen3.5-27b,pymc,baseline,code_style_listcomp,20,1,3
qwen3.5-27b,pymc,baseline,architecture_extend,21,1,0
qwen3.5-27b,pymc,baseline,architecture_standalone,21,1,0
qwen3.5-27b,pymc,baseline,testing_parametrize,22,1,0
qwen3.5-27b,pymc,baseline,testing_assert_almost,22,1,3
qwen3.5-27b,pymc,baseline,naming_underscore,23,1,0
qwen3.5-27b,pymc,baseline,naming_snake_no_abbrev,23,1,3
qwen3.5-27b,pymc,baseline,dependencies_no_new,24,1,0
qwen3.5-27b,pymc,baseline,dependencies_module_constants,24,1,0
qwen3.5-27b,pymc,baseline,docs_numpy_style,25,1,3
qwen3.5-27b,pymc,treatment,code_style_broadcasting,20,1,3
qwen3.5-27b,pymc,treatment,architecture_standalone,21,1,3
qwen3.5-27b,pymc,treatment,testing_parametrize,22,1,3
qwen3.5-27b,pymc,treatment,testing_assert_almost,22,1,3
qwen3.5-27b,pymc,treatment,naming_underscore,23,1,0
qwen3.5-27b,pymc,treatment,naming_snake_no_abbrev,23,1,3
qwen3.5-27b,pymc,treatment,dependencies_no_new,24,1,0
qwen3.5-27b,pymc,treatment,dependencies_module_constants,24,1,2
qwen3.5-27b,pymc,treatment,docs_numpy_style,25,1,3
qwen3.5-27b,bambi,baseline,code_style_broadcasting,20,2,1
