model,codebase,condition,decision,turn,epoch,judge,score
gpt-5.4-nano,pymc,treatment,docs_regex_comments,25,1,judge_1,3
gemma-4-26b-a4b-it,bambi,treatment,architecture_standalone,21,2,judge_1,3
gemma-4-26b-a4b-it,arviz,treatment,naming_snake_no_abbrev,23,2,judge_1,2
gpt-5.4-nano,bambi,baseline,naming_snake_no_abbrev,23,1,judge_1,3
gemini-3.1-flash-lite,pymc,treatment,naming_underscore,23,3,judge_1,0
gemma-4-26b-a4b-it,arviz,treatment,naming_snake_no_abbrev,23,2,judge_2,3
gemini-3.1-flash-lite,arviz,treatment,naming_underscore,23,2,judge_1,0
gemma-4-26b-a4b-it,bambi,treatment,architecture_standalone,21,2,judge_2,3
gpt-5.4-nano,arviz,treatment,architecture_standalone,21,4,judge_1,3
gemini-3.1-flash-lite,pymc,treatment,testing_assert_almost,22,3,judge_2,3
gemini-3.1-flash-lite,arviz,treatment,testing_assert_almost,22,2,judge_2,3
gpt-5.4-nano,bambi,baseline,naming_snake_no_abbrev,23,1,judge_2,3
gpt-5.4-nano,arviz,treatment,architecture_standalone,21,4,judge_2,3
gpt-5.4-nano,pymc,treatment,docs_regex_comments,25,1,judge_2,3
gemini-3.1-flash-lite,arviz,treatment,naming_underscore,23,2,judge_2,3
gemini-3.1-flash-lite,pymc,treatment,naming_underscore,23,3,judge_2,3
gemma-4-26b-a4b-it,arviz,treatment,dependencies_no_new,24,2,judge_1,3
gemma-4-26b-a4b-it,bambi,treatment,testing_parametrize,22,2,judge_1,2
gpt-5.4-nano,arviz,treatment,testing_parametrize,22,4,judge_1,1
gpt-5.4-nano,bambi,baseline,naming_underscore,23,1,judge_3,3
gpt-5.4-nano,arviz,baseline,code_style_broadcasting,20,2,judge_1,0
gemma-4-26b-a4b-it,bambi,treatment,architecture_standalone,21,2,judge_3,3
gpt-5.4-nano,bambi,baseline,dependencies_no_new,24,1,judge_1,0
gemini-3.1-flash-lite,arviz,treatment,naming_snake_no_abbrev,23,2,judge_1,3
gemma-4-26b-a4b-it,arviz,treatment,dependencies_no_new,24,2,judge_2,3
gemma-4-26b-a4b-it,bambi,treatment,testing_parametrize,22,2,judge_2,3
gemini-3.1-flash-lite,pymc,treatment,naming_snake_no_abbrev,23,3,judge_1,3
